Type,Pourcentage
hawaiian,4.89
classic_dlx,4.95
five_cheese,2.84
ital_supr,3.8
mexicana,2.99
thai_ckn,4.78
prsc_argla,2.94
bbq_ckn,4.91
the_greek,2.86
spinach_supr,1.92
green_garden,2.01
ital_cpcllo,2.9
spicy_ital,3.88
spin_pesto,1.96
veggie_veg,3.08
southw_ckn,3.87
cali_ckn,4.78
pepperoni,4.88
ckn_pesto,1.96
big_meat,3.86
soppressata,1.94
four_cheese,3.84
napolitana,2.95
calabrese,1.89
ital_veggie,1.98
mediterraneo,1.88
peppr_salami,2.92
spinach_fet,2.92
sicilian,3.91
ckn_alfredo,1.99
pep_msh_pep,2.74
brie_carre,0.99
